"Name","data.graph_generator.num_nodes","data.graph_generator.seed","evaluation/avg_backward_penalty","evaluation/best_backward_penalty","epoch"
"12676754_ghostwritten_oversmall","6","42","0.625","0.625","499"
"12676750_counterarch_repermit","4","8374","0","0","499"
"12676749_rerub_chitinous","6","712","0.6666666865348816","0.6666666666666666","499"
"12676753_outclasses_elaeodendron","5","712","0.1666666716337204","0.16666666666666666","499"
"12676745_abyssinian_yagers","6","8374","0.6666666865348816","0.6666666666666666","499"
"12676747_oilstones_oversqueamishly","5","42","0.6000000238418579","0.6","499"
"12676752_preinfluence_unindemnified","5","8374","0","0","499"
"12676755_buncombes_gastrotrich","3","8374","1","1","499"
"12676748_cachespell_rasps","4","42","0","0","499"
"12676746_microsaurian_lootiewallah","4","712","0.25","0.25","499"
"12676751_accourt_ingeniosity","3","712","0.5","0.5","499"
"12676738_mechanically_undeftly","3","42","0","0","499"